arquivo,make,compile,linker,error
part_1517.json,113,222,24,1322
part_1518.json,140,372,48,2099
part_1519.json,108,322,48,1927
part_152.json,71,326,48,1511
part_1520.json,89,241,24,1334
part_1521.json,105,339,48,1899
part_1522.json,112,297,24,2836
part_1523.json,84,297,48,1406
part_1524.json,108,334,48,1857
part_1525.json,110,229,24,1267
part_1526.json,92,355,48,1888
part_1527.json,112,284,24,1803
part_1528.json,79,290,48,1408
part_1529.json,109,338,48,1897
part_153.json,75,323,48,2477
part_1530.json,96,225,24,1337
part_1531.json,60,372,48,1929
part_1532.json,111,305,24,1865
part_1533.json,92,258,48,1353
part_1534.json,127,339,48,1914
part_1535.json,113,222,24,1580
part_1536.json,82,372,48,2660
part_1537.json,111,310,24,1861
part_1538.json,92,253,48,1315
part_1539.json,129,339,48,1918
part_154.json,76,226,24,981
part_1540.json,115,222,24,1300
part_1541.json,89,372,48,1959
part_1542.json,200,315,24,2131
part_1543.json,92,253,48,1323
part_1544.json,127,337,48,1901
part_1545.json,111,224,24,1258
part_1546.json,82,359,48,2746
part_1547.json,111,281,24,1971
part_1548.json,92,293,48,1416
part_1549.json,117,333,48,1883
part_155.json,39,348,48,1575
part_1550.json,120,230,24,1277
part_1551.json,116,339,48,1894
part_1552.json,141,262,24,1588
part_1553.json,117,332,48,1672
part_1554.json,147,315,40,1887
part_1555.json,89,248,32,1314
part_1556.json,121,339,48,1849
part_1557.json,105,222,24,1482
part_1558.json,79,357,48,2588
part_1559.json,105,281,24,1724
part_156.json,76,321,48,1519
part_1560.json,89,295,48,1357
part_1561.json,100,322,48,1768
part_1562.json,97,241,24,1302
part_1563.json,125,339,48,1879
part_1564.json,120,222,24,1232
part_1565.json,90,372,48,1937
part_1566.json,132,273,24,1796
part_1567.json,83,293,48,1408
part_1568.json,104,326,48,2769
part_1569.json,90,240,24,1236
part_157.json,75,287,24,1446
part_1570.json,111,340,48,1826
part_1571.json,109,224,24,1210
part_1572.json,86,369,48,1910
part_1573.json,109,274,24,1704
part_1574.json,91,295,48,1377
part_1575.json,104,323,48,1762
part_1576.json,91,243,24,1289
part_1577.json,120,340,48,2522
part_1578.json,109,224,24,1494
part_1579.json,81,357,48,1865
part_158.json,48,269,48,1060
part_1580.json,104,282,24,1712
part_1581.json,103,299,48,1505
part_1582.json,158,317,44,2126
part_1583.json,108,249,28,1447
part_1584.json,142,338,48,1979
part_1585.json,104,226,24,1170
part_1586.json,76,341,48,1823
part_1587.json,104,273,24,2623
part_1588.json,76,324,48,1497
part_1589.json,107,311,24,1754
part_159.json,67,348,48,1563
part_1590.json,114,222,40,1197
part_1591.json,114,338,44,1821
part_1592.json,126,224,24,1244
